Language Name,Language Code,Effective Date,Deleted Flag
Logbara,LB,12/6/2001 13:28,N
Luba Kasai,LBK,6/24/2009 12:06,N
Luganda,LGD,10/10/2015 10:55,N
Liberian English,LIE,8/25/2008 14:19,N
Lingala,LIN,12/6/2001 13:28,N
Limba,LMB,10/10/2015 10:55,N
Lombard,LMO,12/6/2001 13:28,N
Loma,LOM,10/10/2015 10:55,N
LORI,LOR,7/20/2007 13:25,N
Mizo (Lushai),LUS,6/1/2010 9:21,N
Lotuko,LZ,12/6/2001 13:28,N
Mano,MA,12/6/2001 13:28,N
Mabani,MAB,10/10/2015 10:55,N
Maimai,MAI,3/2/2002 16:15,N
Mandean,MAN,8/14/2006 15:20,N
Mara ,MAR,10/7/2009 10:14,N
Massalit,MAS,8/25/2008 14:19,N
Matu,MAT,10/26/2009 8:15,N
Malagasy,MEX,12/6/2001 13:28,N
Mandingo,MGO,8/25/2008 14:19,N
Madi,MHI,12/6/2001 13:28,N
Madura,MHJ,12/6/2001 13:28,N
Mi-E,MIE,10/10/2015 10:55,N
Mina,MIN,8/25/2008 14:19,N
Malayalam,MJS,12/6/2001 13:28,N
Marwari,MKD,12/6/2001 13:28,N
Macedonian,MKJ,12/6/2001 13:28,N
Maithili,MKP,12/6/2001 13:28,N
Malay,MLI,12/6/2001 13:28,N
Mende,MND,9/27/2002 21:36,N
Chinese (Min Bei),MNP,3/13/2017 13:07,N
Monokutuba,MOK,8/25/2008 14:19,N
Mongolian,MON,2/21/2003 13:20,N
Mon,MOO,5/16/2003 17:28,N
Moro,MOR,12/6/2001 13:28,N
Magahi,MQM,12/6/2001 13:28,N
Mararit,MR,3/3/2010 9:44,N
Marathi,MRT,12/6/2001 13:28,N
Mashi,MSH,3/31/2016 12:46,N
Nepali,NEP,8/7/2007 7:35,N
Ngawn,NGA,10/10/2015 10:55,N
Ngonbe,NGO,10/10/2015 10:55,N
Napoletano-Calabrese,NPL,12/6/2001 13:28,N
Numpoh,NU,12/6/2001 13:28,N
Nuba,NUB,11/8/2002 11:52,N
Nuer,NUS,12/6/2001 13:28,N
Ogoni,OG,12/6/2001 13:28,N
Oromo (West Central),ORO,3/13/2017 13:07,N
Oriya,ORY,12/6/2001 13:28,N
Panjabi,PAN,10/10/2015 10:55,N
Parte,PAR,10/10/2015 10:55,N
Pashto (Southern),PBT,3/13/2017 13:07,N
Pashto (Northern),PBU,3/13/2017 13:07,N
Farsi (Western),PES,3/13/2017 13:07,N
Tajiki,PET,12/6/2001 13:28,N
Phnong,PHN,5/16/2003 17:28,N
Pakhtu,PKT,12/6/2001 13:28,N
Panjabi (Western),PNB,3/13/2017 13:07,N
Panjabi (Eastern),PNJ,3/13/2017 13:07,N
Pojulu,POJ,3/31/2016 12:46,N
Portuguese,POR,12/6/2001 13:28,N
Polish,PQL,12/6/2001 13:28,N
Farsi (Eastern),PRS,3/13/2017 13:07,N
Pashto,PSH,10/10/2015 10:55,N
Pashto (Central),PST,11/22/2016 14:02,N
Putu,PU,12/6/2001 13:28,N
Pwo Karen,PWO,2/8/2007 10:30,N
Rahaweyn,RAH,10/10/2015 10:55,N
Rawang,RAW,10/10/2015 10:55,N
Rega Lega,RGL,6/24/2009 12:05,N
Rohingya,ROH,11/18/2014 15:02,N
Romano-Serbian,RSB,12/6/2001 13:28,N
Rwanda,RUA,12/6/2001 13:28,N
Romanian,RUM,12/6/2001 13:28,N
Russian,RUS,12/6/2001 13:28,N
Belarusan,RUW,12/6/2001 13:28,N
Sarpo,SA,12/6/2001 13:28,N
Saho,SAH,10/10/2015 10:55,N
Sango,SAN,8/25/2008 14:19,N
Sign Language,SGN,10/10/2015 10:55,N
Sgaw Karen,SGW,2/8/2007 10:30,N
Swahili,SH,5/17/2011 12:49,Y
Shan ,SHA,10/7/2009 10:14,N
Shona,SHD,12/6/2001 13:28,N
Shikaki,SHF,12/6/2001 13:28,N
Shilluk,SHL,11/15/2002 12:53,N
Sidamo,SID,12/6/2001 13:28,N
Sifwe,SIF,10/10/2015 10:55,N
Siyin,SIY,10/26/2009 8:15,N
Saraiki,SKR,12/6/2001 13:28,N
Salamat,SL,3/3/2010 9:44,N
Slovenian,SLV,12/6/2001 13:28,N
Sindhi,SND,12/6/2001 13:28,N
Sinhala,SNH,12/6/2001 13:28,N
Somali,SOM,12/6/2001 13:28,N
Sorani,SOR,10/10/2015 10:55,N
Spanish,SPN,12/6/2001 13:28,N
Srilankan,SR,12/6/2001 13:28,N
Serbian,SRB,5/2/2003 16:06,N
Serbo-Croatian,SRC,12/6/2001 13:28,Y
Sesotho,SS,12/6/2001 13:28,N
Setswana,ST,12/6/2001 13:28,N
Sunda,SUO,12/6/2001 13:28,N
Surchi,SUP,12/6/2001 13:28,N
Siswati,SW,12/6/2001 13:28,N
Swedish,SWD,12/6/2001 13:28,N
Siryac,SYR,5/9/2006 9:48,N
Tapong,TAP,10/10/2015 10:55,N
Tribal,TB,12/6/2001 13:28,N
Tae Chiew,TC,12/6/2001 13:28,N
Tamil,TCV,12/6/2001 13:28,N
Telugu,TCW,12/6/2001 13:28,N
Tedim ,TED,10/7/2009 10:14,N
Tagalog,TGL,12/6/2001 13:28,N
Tigrinya,TGN,12/6/2001 13:28,N
Thai,THJ,12/6/2001 13:28,N
Tibetan,TIB,2/21/2003 13:20,N
Tigray,TIG,10/10/2015 10:55,N
Tunjur,TJ,3/3/2010 9:44,N
Temne,TMN,9/27/2002 21:36,N
Tennet,TNT,10/10/2015 10:55,N
Turkish,TRK,12/6/2001 13:28,N
Tshiluba,TSH,10/10/2015 10:55,N
Tatar,TTR,12/6/2001 13:28,N
Thai (Northeastern),TTS,3/13/2017 13:07,N
Turkman,TU,12/6/2001 13:28,N
Turk (Iranian),TUR,3/13/2017 13:09,N
Tigrigwa,TW,12/6/2001 13:28,N
Twa,TWA,6/24/2009 12:06,N
Akan,TWS,12/6/2001 13:28,N
Uyghur,UIG,12/6/2001 13:28,N
Ukrainian,UKR,12/6/2001 13:28,N
Urdu,URD,12/6/2001 13:28,N
Uzbek,UZB,12/6/2001 13:28,N
Vai,VAI,10/10/2015 10:55,N
Vietnamese,VIE,12/6/2001 13:28,N
Chinese (Wu),WUU,3/13/2017 13:07,N
Yiddish,YID,2/25/2002 11:31,N
Yakoma,YK,3/3/2010 9:44,N
Yoruba,YOR,12/6/2001 13:28,N
Chinese (Yue),YUH,3/13/2017 13:07,N
Zaghawa,ZAG,8/25/2008 14:19,N
Zo ,ZO,10/7/2009 10:14,N
Zophei ,ZOP,10/7/2009 10:14,N
Zotung ,ZOT,10/7/2009 10:14,N
Zulu,ZUU,12/6/2001 13:28,N
Other Minor Languages,ZY,12/6/2001 13:28,N
